origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
11,17,0,417393.4348,2.1691059,417395.6039
11,18,0,417393.4348,2.1691059,417395.6039
11,19,0,417393.4348,2.1691059,417395.6039
11,20,0,417393.4348,2.1691059,417395.6039
11,21,0,417393.4348,2.1691059,417395.6039
11,22,0,417393.4348,2.1691059,417395.6039
11,23,0,417393.4348,2.1691059,417395.6039
11,24,0,417393.4348,2.1691059,417395.6039
11,25,0,417393.4348,2.1691059,417395.6039
12,1,0,0,0,23350.88421
12,2,0,0,0,23350.88421
12,3,0,0,0,23350.88421
12,4,0,0,0,23350.88421
12,5,0,0,0,23350.88421
12,6,0,0,0,23350.88421
12,7,0,0,0,23350.88421
12,8,0,0,0,23350.88421
12,9,0,0,0,23350.88421
12,10,0,0,0,23350.88421
12,11,0,0,0,23350.88421
12,12,0,0,0,23350.88421
12,13,0,23350.88421,0,23350.88421
12,14,0,0,0,23350.88421
12,15,0,0,0,23350.88421
12,16,0,23350.88421,0,23350.88421
12,17,0,23350.88421,0,23350.88421
12,18,0,23350.88421,0,23350.88421
12,19,0,23350.88421,0,23350.88421
12,20,0,23350.88421,0,23350.88421
12,21,0,23350.88421,0,23350.88421
12,22,0,23350.88421,0,23350.88421
12,23,0,23350.88421,0,23350.88421
12,24,0,23350.88421,0,23350.88421
12,25,0,23350.88421,0,23350.88421
13,1,0,23350.88421,0,23350.88421
13,2,0,23350.88421,0,23350.88421
13,3,0,23350.88421,0,23350.88421
13,4,0,23350.88421,0,23350.88421
13,5,0,23350.88421,0,23350.88421
13,6,0,23350.88421,0,23350.88421
13,7,0,23350.88421,0,23350.88421
13,8,0,0,0,98961.57557
13,9,0,0,0,98961.57557
13,10,0,23350.88421,0,23350.88421
13,11,0,0,0,98961.57557
13,12,0,0,0,98961.57557
13,13,0,0,0,98961.57557
13,14,0,0,0,98961.57557
13,15,0,0,0,98961.57557
13,16,0,98961.57557,0,98961.57557
13,17,0,98961.57557,0,98961.57557
13,18,0,98961.57557,0,98961.57557
13,19,0,98961.57557,0,98961.57557
13,20,0,0,2.1691059,659761.9509
13,21,0,0,2.1691059,659761.9509
13,22,0,98961.57557,0,98961.57557
13,23,0,98961.57557,0,98961.57557
13,24,0,0,2.1691059,659761.9509
13,25,0,0,2.1691059,659761.9509
14,1,0,456050.6981,0,456050.6981
14,2,0,121966.0119,2.1691059,121968.181
14,3,0,456050.6981,0,456050.6981
14,4,0,66082.21402,0,66082.21402
14,5,0,521693.4792,0,521693.4792
14,6,0,456050.6981,0,456050.6981
14,7,0,456050.6981,0,456050.6981
14,8,0,521693.4792,0,521693.4792
